YEAR,TEMPERATURE
2016-09-01,29.55
2016-10-01,30.45
2016-11-01,29.9
2016-12-01,28.1
2017-01-01,27.85
2017-02-01,27.75
2017-03-01,27.95
2017-04-01,28.2
2017-05-01,29.3
2017-06-01,29.1
2017-07-01,28.8
2017-08-01,30.85
2017-09-01,29.8
2017-10-01,29.3
2017-11-01,29.5
2017-12-01,28.2
2018-01-01,28.05
2018-02-01,28.35
2018-03-01,28.65
2018-04-01,28.05
2018-05-01,28.2
2018-06-01,28.5
2018-07-01,29.15
2018-08-01,29.65
2018-09-01,30.4
2018-10-01,31.2
2018-11-01,29.9
2018-12-01,27.5
2019-01-01,27.95
2019-02-01,28.1
2019-03-01,28.95
2019-04-01,28.4
2019-05-01,28.2
2019-06-01,28.75
2019-07-01,29.1
2019-08-01,29.6
2019-09-01,30.4
2019-10-01,29.0
2019-11-01,28.4
2019-12-01,27.78
